dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,swisstopo,ar Beschaffung,ar Immo,ar W+T,BASPO,BABS,GS-VBS,V
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,0,Unknown,0,Non disponible,0,0,0,0,0,0,0,0
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,0,Unknown,1,Nahrungsmittel und Getränke,86951.65,194610.68,117144.3,7037.25,4318826.45,251334.82,39007.1,11993640.04
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,0,Unknown,2,Textilien und Bekleidung,6708.2,8426611.57,,32164.4,776518.33,88519.3,1513.67,57900441.66
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,0,Unknown,3,"Heizöl, Benzin, Treibstoffe, Chemie",49698,,1023.5,21724.19,438550.07,603346.81,4718.55,67194581.6
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,0,Unknown,4,"Maschinen, Rüstungsgüter und Verteidigungseinr. inkl. W+R",27242.55,2318478.34,,811435.45,662693.69,1415751.66,8080.75,413982361.82
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,0,Unknown,5,Medizinische Produkte und Pharmabereich,,,,,13864.03,624829.57,2218.2,20042592.9
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,0,Unknown,6,Transport-DL (Güter- und Personentransporte) sowie Hotels,705272.48,5183330,283629.83,,69617.25,23289.6,29204.15,30476468.24
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,0,Unknown,7,"Kraftfahrzeuge, Fahrzeugteile, Transportmittel inkl. W+R",36783.25,10398234.15,5149.5,,90577.15,55333.8,5409555.19,261027823.06
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,0,Unknown,8,Güter und DL im Zusammenh. mit Sport und Erholung inkl. W+R,,26943.85,,,17135723.66,,,1694657.58
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,0,Unknown,9,"Publikationen, Drucksachen und Informationsträger des Bundes",129994.59,5000.35,904.8,,236185.53,164104.39,1655649.04,1330470.06
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,0,Unknown,10,"Büromatik, inkl. Präsentationstechnik, Zubehör inkl. W+R",1011.72,5428.5,,,630429.25,,15672.55,11791684.41
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,0,Unknown,12,Büro- und Raumausstattung zivile Verwaltung inkl. W+R,8776.38,128106.99,1671454.03,,635155.74,36.6,701.35,15858565.31
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,0,Unknown,13,Bürobedarf inkl. Papier und EDV-Verbrauchsmaterial inkl. W+R,133448.25,4112.1,103.2,,92223.42,1655.3,2092.1,640785.59
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,0,Unknown,14,Postdienstleistungen und diplomatischer Kurier,264475.7,144925.2,,,149924.65,97027.5,152563.8,2142099.78
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,0,Unknown,15,Informatik und Telekommunikationsmittel inkl. W+R,2015954.68,1163525.9,,421537.44,768690.66,553360.8,110326,8781079.86
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,0,Unknown,15.4,SW-Pflege und HW Wartung,2015954.68,1163525.9,,421537.44,768690.66,553360.8,110326,8781079.86
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,0,Unknown,16,IT- und Telko-Mittel für Führungs- und Einsatzsyst der Armee,2034291.2,1055423.29,321.85,2948269.96,191853.06,36109879.28,6356.33,152691414.02
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,0,Unknown,16.1,Aufklärungs- und Auswertesysteme,414.9,184095.86,,295203.25,,232964.5,,32975409.78
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,0,Unknown,16.2,Führungs- und Informatiksysteme,2033876.3,656420.37,321.85,2653066.71,191853.06,35876914.78,6356.33,107536513.66
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,0,Unknown,16.3,Ausbildungssysteme (Simulatoren),,214907.06,,,,,,12179490.58
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,0,Unknown,17,"DL, notwendig für  Bereitst., Betrieb, Unterhalt der Güter",435252.76,1169529.85,34664.05,124341.25,49225.6,2987675.2,61468.24,517553688.72
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,0,Unknown,18,Dienstleistungen,6512534.38,2659807.38,2855923.14,283516.47,932636,2616451.47,5482793.81,88074343.87
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,0,Unknown,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,5009788.7,443810.5,,,255817.17,2172295.11,420515.5,7680432.28
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,0,Unknown,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,1062058.27,1127461.05,128777.05,75406.65,165018.4,44947.7,2317765.6,68189818.3
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,0,Unknown,18.3,Beratungs-DL für Management und Organisation sowie Coaching,16329.95,327757.62,2712318.34,208109.82,19039.5,126324.59,1994765.68,11960421.71
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,0,Unknown,18.4,Informationsarbeit,195295.8,325905.21,11527.75,,129364.61,205855.85,281477,137524.25
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,0,Unknown,18.5,Sprach- und Übersetzungsdienstleistungen,229061.66,434873,3300,,363396.32,67028.22,468270.03,106147.33
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,0,Unknown,20,Militärische Bauten,910979.25,325181.61,402174985.62,865889.88,3630622.16,2375855.38,1412,136510253.5
VBS,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport",2014,0,Unknown,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",425034.35,386139.04,79047.45,18393.4,72313.41,2201956.99,2030.8,18949834.1
