dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,Bundeskanzlei
BK,Schweizerische Bundeskanzlei,2011,481426823,Schweiz. Depeschenagentur AG,18.4,Informationsarbeit,2590672.35
BK,Schweizerische Bundeskanzlei,2011,483451902,Jeanmaire & Michel AG,18.5,Sprach- und Übersetzungsdienstleistungen,283392
BK,Schweizerische Bundeskanzlei,2011,484457734,Trivadis AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,220975.15
BK,Schweizerische Bundeskanzlei,2011,484457734,Trivadis AG,15.4,SW-Pflege und HW Wartung,55755.8
BK,Schweizerische Bundeskanzlei,2011,480822068,Fabasoft CH Software AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,194350.5
BK,Schweizerische Bundeskanzlei,2011,480822068,Fabasoft CH Software AG,15.4,SW-Pflege und HW Wartung,972
BK,Schweizerische Bundeskanzlei,2011,485486377,Ecoplan AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,179735
BK,Schweizerische Bundeskanzlei,2011,482687147,GFS.Bern Forsch.Politik Kommunikation+Gesellsch.,18.4,Informationsarbeit,173024
BK,Schweizerische Bundeskanzlei,2011,488213885,Stoupa & Partners AG Beratungsgesellschaft Betriebswi,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,165295
BK,Schweizerische Bundeskanzlei,2011,481838001,APP Unternehmensberatung AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,163786.9
BK,Schweizerische Bundeskanzlei,2011,483508672,G+U Job4You GmbH,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",161003.8
BK,Schweizerische Bundeskanzlei,2011,480957302,Nexplore AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,159357.85
BK,Schweizerische Bundeskanzlei,2011,480580922,SRG SSR idée suisse Media Services,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,64915.35
BK,Schweizerische Bundeskanzlei,2011,480580922,SRG SSR idée suisse Media Services,15.4,SW-Pflege und HW Wartung,54036.8
BK,Schweizerische Bundeskanzlei,2011,480580922,SRG SSR idée suisse Media Services,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,8946.7
BK,Schweizerische Bundeskanzlei,2011,480580922,SRG SSR idée suisse Media Services,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",2397.6
BK,Schweizerische Bundeskanzlei,2011,480580922,SRG SSR idée suisse Media Services,18.3,Beratungs-DL für Management und Organisation sowie Coaching,864
BK,Schweizerische Bundeskanzlei,2011,481311145,"Rexult AG Informatik, Unternehmensberatung",18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,115099.1
BK,Schweizerische Bundeskanzlei,2011,484075239,Wistar Informatik AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,109007.75
BK,Schweizerische Bundeskanzlei,2011,482721862,POHN IT-Consulting GmbH,15.4,SW-Pflege und HW Wartung,54559.8
BK,Schweizerische Bundeskanzlei,2011,482721862,POHN IT-Consulting GmbH,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,43675.5
BK,Schweizerische Bundeskanzlei,2011,480683648,Schweizerische Bundesbahnen SBB,6.2,"DL im Zusammenhang mit Personentransporten, Hotels, usw.",81588.15
BK,Schweizerische Bundeskanzlei,2011,480683648,Schweizerische Bundesbahnen SBB,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",10522.35
BK,Schweizerische Bundeskanzlei,2011,480683648,Schweizerische Bundesbahnen SBB,18.3,Beratungs-DL für Management und Organisation sowie Coaching,1051.4
BK,Schweizerische Bundeskanzlei,2011,481595911,SE-CURE AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,92880
BK,Schweizerische Bundeskanzlei,2011,480936165,Global IT AG,15.1,Hardware,88657.7
BK,Schweizerische Bundeskanzlei,2011,485553015,Notch Interactive GmbH,18.4,Informationsarbeit,83701.7
BK,Schweizerische Bundeskanzlei,2011,481250900,Universal-Job AG,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",52361.15
BK,Schweizerische Bundeskanzlei,2011,481250900,Universal-Job AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,14455.45
BK,Schweizerische Bundeskanzlei,2011,480301576,ecmt GmbH,18.3,Beratungs-DL für Management und Organisation sowie Coaching,38730
BK,Schweizerische Bundeskanzlei,2011,480301576,ecmt GmbH,15.4,SW-Pflege und HW Wartung,25920
BK,Schweizerische Bundeskanzlei,2011,480945877,AWK Group AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,42816.95
BK,Schweizerische Bundeskanzlei,2011,480945877,AWK Group AG,15.4,SW-Pflege und HW Wartung,20159.75
BK,Schweizerische Bundeskanzlei,2011,482522427,Die Schweizerische Post Service Center Finanzen Mitte,14.1,Postdienste,61142.4
BK,Schweizerische Bundeskanzlei,2011,482522427,Die Schweizerische Post Service Center Finanzen Mitte,18.5,Sprach- und Übersetzungsdienstleistungen,57.3
