dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,ISC-EJPD,ESBK,GS-EJPD,BJ,fedpol,SIR,METAS,BFM
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,487858045,Ors Service AG,1,Nahrungsmittel und Getränke,,,,,,,,485659.4
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,487858045,Ors Service AG,6.2,"DL im Zusammenhang mit Personentransporten, Hotels, usw.",,,,,,,,8363.05
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,487858045,Ors Service AG,13,Bürobedarf inkl. Papier und EDV-Verbrauchsmaterial inkl. W+R2),,,,,,,,426.6
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,487858045,Ors Service AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,,161353.9
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,487858045,Ors Service AG,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,,,11074155.15
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,487858045,Ors Service AG,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,,,1100540.4
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,482789724,AdNovum Informatik AG,15.1,Hardware,8130.55,,,,,,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,482789724,AdNovum Informatik AG,15.2,Software inkl. Lizenzen,455393.65,,,,,,,2193441.45
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,482789724,AdNovum Informatik AG,15.4,SW-Pflege und HW Wartung,552044.7,,,,,,,352324.85
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,482789724,AdNovum Informatik AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,19959.45,,472390.15,,,,,3140078.1
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,482789724,AdNovum Informatik AG,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",92546.05,,,,,,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,482207235,AirPlus International AG,6.1,"Transportdienstleistungen, Güter und Waren",7167.1,3479.75,1147.9,96084.18,384778.18,,,478841.95
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,482207235,AirPlus International AG,6.2,"DL im Zusammenhang mit Personentransporten, Hotels, usw.",,,,,11602.63,12735.31,39013.73,5254124.33
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,482207235,AirPlus International AG,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,3879.1,,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,482207235,AirPlus International AG,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",671.9,,,16135.75,,402.35,,8126.4
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,481936743,EXANOVIS AG,15.1,Hardware,298656.15,,,,,,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,481936743,EXANOVIS AG,15.2,Software inkl. Lizenzen,5003198.45,,,,,,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,481936743,EXANOVIS AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,21976.63,,,,,,,
